               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072542,            0.025629,            0.020698,             0.45365,             0.60537,             0.48851,             0.24542,            0.034963,           0.0076348,            0.010729,            0.070273,            0.003303,            0.003303
                   1,             0.05217,            0.018107,            0.009165,             0.59928,             0.80413,             0.66364,             0.33384,            0.036544,           0.0058632,            0.002459,            0.040251,           0.0066145,           0.0066145
                   2,            0.048446,            0.016578,           0.0053283,             0.80574,             0.83393,             0.84961,             0.39326,            0.037644,            0.005583,           0.0025389,            0.010207,           0.0099039,           0.0099039
                   3,            0.047879,            0.016214,           0.0050394,             0.80554,             0.78263,             0.82977,             0.42479,             0.03088,           0.0067413,           0.0033597,            0.009901,            0.009901,            0.009901
                   4,            0.040995,            0.015228,           0.0039249,             0.84018,             0.89788,             0.90401,             0.60358,            0.025384,           0.0055488,           0.0022946,            0.009901,            0.009901,            0.009901
                   5,              0.0388,            0.015117,           0.0039719,             0.69668,             0.75586,             0.74003,             0.36269,              0.0264,           0.0070422,           0.0033059,            0.009868,            0.009868,            0.009868
                   6,            0.037814,            0.015263,           0.0031413,             0.86903,             0.85487,              0.9162,             0.53693,            0.025937,           0.0061458,           0.0042711,            0.009835,            0.009835,            0.009835
                   7,            0.039583,            0.014924,           0.0035882,             0.79612,             0.87056,             0.88588,              0.5324,            0.027081,           0.0060229,           0.0013858,            0.009802,            0.009802,            0.009802
                   8,            0.037118,            0.015069,           0.0041254,              0.9439,             0.90007,             0.95155,             0.59792,            0.025894,           0.0056108,           0.0012777,            0.009769,            0.009769,            0.009769
                   9,            0.034493,            0.014771,           0.0032016,             0.93337,             0.93044,             0.96511,             0.64112,            0.023252,           0.0052864,            0.001514,            0.009736,            0.009736,            0.009736
